gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,invt,lct,lt,ni,re,revt,costat,prcc_c
029151,20211231,2021,INDL,C,D,STD,CNTY,USD,140.6800,703.3580,141.6240,199.7370,29.6250,1.4430,60.4330,553.0010,20.6220,22.8590,388.5060,A,12.1800
029156,20211231,2021,INDL,C,D,STD,UFPI,USD,2073.4760,3245.2710,1978.6130,7131.0350,61.9020,968.9220,776.0420,1228.7020,535.6400,1672.7160,8636.1340,A,92.0100
029191,20211231,2021,INDL,C,D,STD,ICHR,USD,462.7710,1020.8760,500.7150,904.1000,28.5510,236.1330,208.3030,520.1610,70.8990,174.8520,1096.9170,A,46.0300
029206,20211231,2021,INDL,C,D,STD,FWRD,USD,282.8070,1117.8230,593.6540,1299.7350,26.9690,,164.6920,524.1690,105.9290,334.9100,1662.4270,A,121.0900
029217,20210831,2021,INDL,C,D,STD,SCHN,USD,543.1140,1494.3630,835.7640,2246.3580,27.5320,256.4270,352.8500,654.5840,165.1120,759.1580,2758.5510,A,51.9200
029241,20210630,2021,INDL,C,D,STD,VIAV,USD,1112.1000,1961.4000,774.8000,415.6000,228.3000,94.9000,705.0000,1186.6000,46.1000,-69399.9000,1198.9000,A,17.6200
029251,20210430,2020,INDL,C,D,STD,KALV,USD,264.2640,272.0130,257.1930,0.0000,24.4230,0.0000,9.7740,14.8200,-46.2440,-169.2680,0.0000,A,18.9900
029282,20211231,2021,INDL,C,D,STD,NYCB,USD,,59527.0000,6541.0000,403.0000,465.0160,3.0000,,52483.0000,596.0000,656.0000,1750.0000,A,12.2100
029359,20211231,2021,INDL,C,D,STD,SUI,USD,,13494.0840,6623.8950,1632.0160,115.9760,51.0550,,6474.5970,380.1520,-1552.9410,2276.5970,A,209.9700
029382,20211231,2021,INDL,C,D,STD,SHOO,USD,944.6600,1355.5420,812.0980,1098.6450,80.5570,255.2130,435.1900,535.0040,190.6780,1391.5230,1866.1420,A,46.4700
029389,20211231,2021,INDL,C,D,STD,SPG,USD,,33777.3790,3319.6890,2374.2970,328.6200,0.0000,,29376.6540,2249.6310,-6008.8940,5897.5260,A,159.7700
029392,20211231,2021,INDL,C,D,STD,EMN,USD,4646.0000,15519.0000,5704.0000,7442.0000,128.9170,1504.0000,2971.0000,9731.0000,857.0000,8375.0000,10476.0000,A,120.9100
029449,20211231,2021,INDL,C,D,STD,UFPT,USD,87.3200,334.1320,194.4460,146.7960,7.5350,33.4360,34.7060,139.6860,15.8860,160.8070,206.3200,A,70.2600
029453,20211231,2021,INDL,C,D,STD,LNG,USD,5056.0000,39258.0000,-2571.0000,15217.0000,253.6000,706.0000,4693.0000,39291.0000,-2343.0000,-6021.0000,15864.0000,A,101.4200
029517,20211231,2021,INDL,C,D,STD,MED,USD,306.8660,398.3260,202.4740,392.7900,11.5930,180.0430,169.8320,195.8520,164.0310,190.4440,1526.0870,A,209.4300
029609,20210630,2021,INDL,C,D,STD,HAIN,USD,577.0550,2205.9080,1522.8830,1430.6510,99.0690,285.4100,290.4340,683.0250,77.3640,618.2140,1970.3020,A,42.6100
029649,20211231,2021,INDL,C,D,STD,MAA,USD,,11285.1820,5965.1680,1260.3300,115.3370,0.0000,,5101.0900,533.7910,-1266.9390,1829.4110,A,229.4400
029684,20211231,2021,INDL,C,D,STD,JNCE,USD,190.8270,252.6960,223.8050,115.1360,51.2650,0.0000,18.8980,28.8910,-90.8720,-242.1110,26.9070,A,8.3500
029733,20211231,2021,INDL,C,D,STD,MLM,USD,2025.6000,14393.0000,6535.3000,3588.6000,62.4000,752.6000,752.6000,7855.4000,702.5000,3064.3000,5414.0000,A,440.5200
